                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.09303,                0.99624,                      1,                  2.688,               0.008763,               0.008763,               0.008763
                     25,                0.08889,                0.99619,                0.99994,                 2.6881,              0.0086584,              0.0086584,              0.0086584
                     26,                0.09044,                0.99624,                0.99994,                 2.6881,              0.0085502,              0.0085502,              0.0085502
                     27,                0.08816,                0.99624,                0.99994,                 2.6882,              0.0084385,              0.0084385,              0.0084385
                     28,                0.08726,                0.99613,                0.99994,                 2.6882,              0.0083235,              0.0083235,              0.0083235
                     29,                0.08103,                0.99613,                0.99994,                 2.6882,              0.0082052,              0.0082052,              0.0082052
                     30,                0.08499,                0.99641,                0.99994,                 2.6882,              0.0080839,              0.0080839,              0.0080839
                     31,                0.07891,                 0.9967,                0.99994,                 2.6881,              0.0079595,              0.0079595,              0.0079595
                     32,                0.07746,                0.99664,                0.99994,                 2.6881,              0.0078323,              0.0078323,              0.0078323
                     33,                0.08087,                 0.9967,                0.99994,                 2.6881,              0.0077023,              0.0077023,              0.0077023
                     34,                 0.0743,                0.99664,                0.99994,                  2.688,              0.0075698,              0.0075698,              0.0075698
                     35,                0.08134,                0.99647,                0.99994,                  2.688,              0.0074347,              0.0074347,              0.0074347
                     36,                0.07427,                0.99641,                      1,                 2.6879,              0.0072973,              0.0072973,              0.0072973
                     37,                0.07624,                0.99641,                      1,                 2.6878,              0.0071576,              0.0071576,              0.0071576
                     38,                0.07245,                0.99664,                      1,                 2.6877,              0.0070159,              0.0070159,              0.0070159
                     39,                0.06842,                0.99676,                      1,                 2.6875,              0.0068722,              0.0068722,              0.0068722
                     40,                0.06904,                0.99681,                      1,                 2.6874,              0.0067268,              0.0067268,              0.0067268
                     41,                0.06628,                0.99676,                      1,                 2.6873,              0.0065796,              0.0065796,              0.0065796
                     42,                0.06662,                0.99693,                      1,                 2.6871,               0.006431,               0.006431,               0.006431
                     43,                0.06801,                0.99704,                      1,                  2.687,               0.006281,               0.006281,               0.006281
                     44,                0.06362,                0.99704,                      1,                 2.6868,              0.0061298,              0.0061298,              0.0061298
                     45,                0.05995,                 0.9971,                      1,                 2.6868,              0.0059775,              0.0059775,              0.0059775
                     46,                0.06506,                 0.9971,                      1,                 2.6867,              0.0058244,              0.0058244,              0.0058244
                     47,                0.05801,                0.99733,                      1,                 2.6866,              0.0056704,              0.0056704,              0.0056704
                     48,                0.05667,                0.99721,                      1,                 2.6866,              0.0055158,              0.0055158,              0.0055158
                     49,                0.05763,                0.99721,                      1,                 2.6865,              0.0053608,              0.0053608,              0.0053608
                     50,                0.05733,                0.99733,                      1,                 2.6864,              0.0052055,              0.0052055,              0.0052055
                     51,                0.05345,                0.99738,                      1,                 2.6863,                0.00505,                0.00505,                0.00505
                     52,                0.04958,                0.99733,                      1,                 2.6862,              0.0048945,              0.0048945,              0.0048945
                     53,                0.04892,                0.99738,                      1,                 2.6861,              0.0047392,              0.0047392,              0.0047392
                     54,                 0.0475,                0.99744,                      1,                  2.686,              0.0045842,              0.0045842,              0.0045842
                     55,                0.04665,                0.99733,                      1,                 2.6859,              0.0044296,              0.0044296,              0.0044296
                     56,                 0.0438,                 0.9975,                      1,                 2.6859,              0.0042756,              0.0042756,              0.0042756
                     57,                0.04519,                0.99761,                      1,                 2.6858,              0.0041225,              0.0041225,              0.0041225
                     58,                0.04195,                0.99772,                      1,                 2.6857,              0.0039702,              0.0039702,              0.0039702
                     59,                0.03966,                0.99784,                      1,                 2.6856,               0.003819,               0.003819,               0.003819
                     60,                0.03978,                0.99795,                      1,                 2.6856,               0.003669,               0.003669,               0.003669
                     61,                0.03737,                0.99801,                      1,                 2.6854,              0.0035204,              0.0035204,              0.0035204
                     62,                0.03627,                0.99795,                      1,                 2.6854,              0.0033732,              0.0033732,              0.0033732
                     63,                0.03287,                0.99812,                      1,                 2.6853,              0.0032278,              0.0032278,              0.0032278
                     64,                0.03395,                0.99818,                      1,                 2.6853,              0.0030841,              0.0030841,              0.0030841
                     65,                0.02956,                0.99795,                      1,                 2.6852,              0.0029424,              0.0029424,              0.0029424
                     66,                0.02929,                0.99795,                      1,                 2.6852,              0.0028027,              0.0028027,              0.0028027
                     67,                0.02881,                0.99801,                      1,                 2.6851,              0.0026653,              0.0026653,              0.0026653
                     68,                0.02756,                0.99812,                      1,                  2.685,              0.0025302,              0.0025302,              0.0025302
                     69,                0.02522,                0.99818,                      1,                 2.6849,              0.0023977,              0.0023977,              0.0023977
                     70,                0.02535,                0.99829,                      1,                 2.6848,              0.0022677,              0.0022677,              0.0022677
                     71,                0.02284,                0.99829,                      1,                 2.6847,              0.0021405,              0.0021405,              0.0021405
                     72,                0.02284,                0.99846,                      1,                 2.6846,              0.0020161,              0.0020161,              0.0020161
                     73,                0.02144,                0.99846,                      1,                 2.6846,              0.0018948,              0.0018948,              0.0018948
                     74,                0.01989,                0.99846,                      1,                 2.6845,              0.0017765,              0.0017765,              0.0017765
                     75,                0.01894,                0.99858,                      1,                 2.6844,              0.0016615,              0.0016615,              0.0016615
                     76,                0.01766,                0.99858,                      1,                 2.6843,              0.0015498,              0.0015498,              0.0015498
                     77,                0.01525,                0.99846,                      1,                 2.6843,              0.0014416,              0.0014416,              0.0014416
                     78,                0.01589,                0.99858,                      1,                 2.6842,               0.001337,               0.001337,               0.001337
                     79,                0.01439,                0.99846,                      1,                 2.6841,               0.001236,               0.001236,               0.001236
                     80,                0.01365,                0.99858,                      1,                 2.6841,              0.0011387,              0.0011387,              0.0011387
                     81,                0.01286,                0.99875,                      1,                  2.684,              0.0010454,              0.0010454,              0.0010454
                     82,                0.01151,                0.99875,                      1,                 2.6839,             0.00095595,             0.00095595,             0.00095595
                     83,                0.01114,                0.99869,                      1,                 2.6838,             0.00087058,             0.00087058,             0.00087058
                     84,                 0.0102,                0.99875,                      1,                 2.6838,             0.00078933,             0.00078933,             0.00078933
                     85,                0.00993,                0.99886,                      1,                 2.6837,             0.00071228,             0.00071228,             0.00071228
                     86,                0.00916,                0.99892,                      1,                 2.6836,             0.00063952,             0.00063952,             0.00063952
                     87,                0.00866,                0.99886,                      1,                 2.6836,             0.00057111,             0.00057111,             0.00057111
                     88,                0.00903,                0.99886,                      1,                 2.6835,             0.00050711,             0.00050711,             0.00050711
                     89,                0.00768,                0.99886,                      1,                 2.6835,             0.00044761,             0.00044761,             0.00044761
                     90,                0.00799,                 0.9988,                      1,                 2.6835,             0.00039264,             0.00039264,             0.00039264
