                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68751,                0.97815,                      1,                 2.7177,              0.0033326,              0.0033326,              0.0033326
                      2,                0.21538,                0.98913,                0.99989,                 2.7013,              0.0066643,              0.0066643,              0.0066643
                      3,                0.25072,                0.98509,                0.99989,                 2.7066,              0.0099895,              0.0099895,              0.0099895
                      4,                0.24061,                 0.9893,                0.99989,                 2.6992,               0.009978,               0.009978,               0.009978
                      5,                0.17567,                0.99152,                      1,                 2.6956,               0.009961,               0.009961,               0.009961
                      6,                0.14629,                0.99402,                0.99983,                 2.6921,              0.0099391,              0.0099391,              0.0099391
                      7,                0.13353,                0.99465,                0.99994,                 2.6911,              0.0099123,              0.0099123,              0.0099123
                      8,                0.12558,                0.99494,                0.99994,                 2.6904,              0.0098808,              0.0098808,              0.0098808
                      9,                0.11994,                0.99528,                0.99994,                   2.69,              0.0098445,              0.0098445,              0.0098445
                     10,                0.11894,                0.99545,                      1,                 2.6889,              0.0098035,              0.0098035,              0.0098035
                     11,                   0.11,                0.99579,                0.99994,                 2.6886,              0.0097577,              0.0097577,              0.0097577
                     12,                0.11482,                0.99585,                0.99994,                 2.6884,              0.0097074,              0.0097074,              0.0097074
                     13,                0.10861,                0.99573,                0.99994,                 2.6884,              0.0096524,              0.0096524,              0.0096524
                     14,                0.10614,                0.99573,                0.99994,                 2.6883,              0.0095929,              0.0095929,              0.0095929
                     15,                0.10354,                 0.9959,                0.99994,                 2.6882,              0.0095289,              0.0095289,              0.0095289
                     16,                 0.1062,                 0.9959,                0.99994,                 2.6881,              0.0094605,              0.0094605,              0.0094605
                     17,                0.10334,                0.99596,                0.99994,                 2.6881,              0.0093877,              0.0093877,              0.0093877
                     18,                0.10001,                0.99624,                0.99994,                  2.688,              0.0093107,              0.0093107,              0.0093107
                     19,                0.09635,                0.99619,                0.99994,                 2.6882,              0.0092294,              0.0092294,              0.0092294
                     20,                0.10308,                0.99619,                0.99994,                 2.6881,               0.009144,               0.009144,               0.009144
                     21,                0.09536,                 0.9963,                0.99994,                  2.688,              0.0090546,              0.0090546,              0.0090546
                     22,                0.09334,                0.99647,                0.99994,                  2.688,              0.0089613,              0.0089613,              0.0089613
                     23,                0.09512,                0.99641,                0.99994,                 2.6879,               0.008864,               0.008864,               0.008864
