                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6298,                0.86228,                0.99124,                 2.8685,              0.0033326,              0.0033326,              0.0033326
                      2,                0.76695,                0.90041,                0.99556,                 2.8228,               0.006006,               0.006006,               0.006006
                      3,                0.75821,                0.91316,                0.99613,                 2.8102,              0.0080194,              0.0080194,              0.0080194
                      4,                0.71654,                0.93786,                0.99892,                 2.7759,                0.00703,                0.00703,                0.00703
                      5,                0.59046,                0.95265,                 0.9992,                 2.7571,                0.00703,                0.00703,                0.00703
                      6,                0.48045,                0.96335,                0.99937,                 2.7388,                0.00604,                0.00604,                0.00604
                      7,                0.39027,                0.96933,                0.99972,                 2.7288,                0.00505,                0.00505,                0.00505
                      8,                0.32733,                0.97729,                0.99983,                 2.7189,                0.00406,                0.00406,                0.00406
                      9,                0.27404,                0.97929,                0.99966,                  2.716,                0.00307,                0.00307,                0.00307
                     10,                0.22851,                0.98105,                0.99972,                 2.7125,                0.00208,                0.00208,                0.00208
