                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.05504,                0.99203,                0.99994,                 2.6928,              0.0033326,              0.0033326,              0.0033326
                      2,                0.11924,                0.98082,                0.99989,                   2.71,              0.0065999,              0.0065999,              0.0065999
                      3,                0.33571,                0.96876,                0.99937,                 2.7332,              0.0098013,              0.0098013,              0.0098013
                      4,                 0.4819,                0.97382,                0.99943,                 2.7267,               0.009703,               0.009703,               0.009703
                      5,                0.39497,                0.97695,                0.99972,                 2.7209,               0.009703,               0.009703,               0.009703
                      6,                  0.348,                0.97951,                0.99977,                 2.7149,               0.009604,               0.009604,               0.009604
                      7,                0.33028,                0.98162,                0.99989,                 2.7107,               0.009505,               0.009505,               0.009505
                      8,                0.31031,                0.98316,                0.99994,                 2.7088,               0.009406,               0.009406,               0.009406
                      9,                0.29851,                0.98634,                0.99994,                 2.7046,               0.009307,               0.009307,               0.009307
                     10,                0.30034,                0.98657,                0.99994,                  2.704,               0.009208,               0.009208,               0.009208
                     11,                0.28812,                0.98708,                0.99994,                 2.7028,               0.009109,               0.009109,               0.009109
                     12,                0.28419,                0.98771,                0.99994,                 2.7017,                0.00901,                0.00901,                0.00901
                     13,                0.27879,                0.98828,                0.99994,                  2.701,               0.008911,               0.008911,               0.008911
                     14,                0.27928,                0.98856,                0.99989,                 2.7004,               0.008812,               0.008812,               0.008812
                     15,                0.27447,                0.98862,                0.99989,                 2.7004,               0.008713,               0.008713,               0.008713
                     16,                 0.2735,                0.98902,                0.99994,                 2.7001,               0.008614,               0.008614,               0.008614
                     17,                0.26716,                0.98919,                0.99994,                 2.7001,               0.008515,               0.008515,               0.008515
                     18,                0.26399,                0.98924,                0.99994,                    2.7,               0.008416,               0.008416,               0.008416
                     19,                0.26284,                0.98919,                0.99994,                 2.6998,               0.008317,               0.008317,               0.008317
                     20,                0.25884,                0.98947,                0.99994,                 2.6995,               0.008218,               0.008218,               0.008218
                     21,                0.25671,                0.98964,                0.99994,                 2.6994,               0.008119,               0.008119,               0.008119
                     22,                0.26245,                0.98936,                0.99994,                 2.6994,                0.00802,                0.00802,                0.00802
                     23,                0.25266,                0.98936,                0.99994,                 2.6995,               0.007921,               0.007921,               0.007921
                     24,                0.25174,                 0.9897,                0.99994,                 2.6993,               0.007822,               0.007822,               0.007822
                     25,                0.24873,                0.98964,                0.99994,                 2.6993,               0.007723,               0.007723,               0.007723
                     26,                0.24537,                0.98953,                0.99994,                 2.6993,               0.007624,               0.007624,               0.007624
                     27,                0.24204,                0.98947,                0.99994,                 2.6993,               0.007525,               0.007525,               0.007525
                     28,                0.24251,                0.98987,                0.99994,                 2.6992,               0.007426,               0.007426,               0.007426
                     29,                0.24338,                0.99021,                0.99994,                 2.6992,               0.007327,               0.007327,               0.007327
                     30,                0.23952,                 0.9901,                0.99994,                 2.6992,               0.007228,               0.007228,               0.007228
                     31,                0.23395,                0.99021,                0.99994,                  2.699,               0.007129,               0.007129,               0.007129
                     32,                0.23164,                0.98993,                0.99994,                  2.699,                0.00703,                0.00703,                0.00703
                     33,                0.23147,                 0.9901,                0.99994,                 2.6988,               0.006931,               0.006931,               0.006931
                     34,                 0.2313,                0.99044,                0.99994,                 2.6988,               0.006832,               0.006832,               0.006832
                     35,                0.23234,                0.99044,                0.99994,                 2.6987,               0.006733,               0.006733,               0.006733
                     36,                0.22307,                0.99038,                0.99994,                 2.6986,               0.006634,               0.006634,               0.006634
                     37,                0.22616,                0.99033,                0.99994,                 2.6985,               0.006535,               0.006535,               0.006535
                     38,                0.22541,                0.99044,                0.99994,                 2.6984,               0.006436,               0.006436,               0.006436
                     39,                0.21985,                0.99072,                0.99994,                 2.6982,               0.006337,               0.006337,               0.006337
                     40,                0.21458,                0.99112,                0.99994,                  2.698,               0.006238,               0.006238,               0.006238
                     41,                0.22031,                0.99112,                0.99994,                 2.6979,               0.006139,               0.006139,               0.006139
                     42,                0.20877,                0.99112,                0.99994,                 2.6977,                0.00604,                0.00604,                0.00604
                     43,                0.20901,                0.99112,                0.99994,                 2.6976,               0.005941,               0.005941,               0.005941
                     44,                0.20774,                0.99107,                0.99994,                 2.6976,               0.005842,               0.005842,               0.005842
                     45,                0.20426,                0.99118,                0.99994,                 2.6974,               0.005743,               0.005743,               0.005743
                     46,                0.20196,                0.99135,                0.99994,                 2.6974,               0.005644,               0.005644,               0.005644
                     47,                0.19867,                0.99135,                0.99994,                 2.6972,               0.005545,               0.005545,               0.005545
                     48,                0.19969,                0.99146,                0.99994,                 2.6969,               0.005446,               0.005446,               0.005446
                     49,                0.19447,                0.99175,                0.99994,                 2.6967,               0.005347,               0.005347,               0.005347
                     50,                 0.1976,                0.99186,                0.99994,                 2.6965,               0.005248,               0.005248,               0.005248
                     51,                0.18894,                0.99186,                0.99994,                 2.6963,               0.005149,               0.005149,               0.005149
